source_dataset,source_category,row_count,share_of_unmapped,proposed_category,confidence,shared_tokens,evidence,alternatives,decision
chicago311,Alley Light Out Complaint,42315,0.1179,STREETLIGHT_FAULT,high,light out,resembles already-mapped chicago311:Street Light Out Complaint,POTHOLE(0.31); TRAFFIC_SIGNAL_FAULT(0.25),REVIEW — not applied by any script
chicago311,Stray Animal Complaint,17666,0.0492,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Fly Dumping Complaint,16272,0.0453,GARBAGE_DUMPING,medium,dumping,resembles already-mapped nyc311:Illegal Dumping,,REVIEW — not applied by any script
chicago311,Check for Leak,14410,0.0402,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Yard Waste Pick-Up Request,13764,0.0384,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Recycling Pick Up,13171,0.0367,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Report an Injured Animal,13055,0.0364,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Inspect Public Way Request,12110,0.0337,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Tree Planting Request,12049,0.0336,FALLEN_TREE,medium,tree,resembles already-mapped chicago311:Tree Emergency,,REVIEW — not applied by any script
chicago311,Vacant/Abandoned Building Complaint,11491,0.032,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Business Complaints,10551,0.0294,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,Buildings - Plumbing Violation,10189,0.0284,GARBAGE_DUMPING,low,violation,resembles already-mapped chicago311:Sanitation Code Violation; weak overlap,,REVIEW — not applied by any script
chicago311,Missed Garbage Pick-Up Complaint,9863,0.0275,GARBAGE_DUMPING,medium,garbage,resembles already-mapped smartathon:GARBAGE,,REVIEW — not applied by any script
chicago311,Vicious Animal Complaint,9840,0.0274,,none,,no token overlap with any existing mapping,,REVIEW — not applied by any script
chicago311,No Building Permit and Construction Violation,8442,0.0235,GARBAGE_DUMPING,low,violation,resembles already-mapped chicago311:Sanitation Code Violation; ambiguous — runner-up CONSTRUCTION_OBSTRUCTION scores 0.20 vs 0.21,CONSTRUCTION_OBSTRUCTION(0.20),REVIEW — not applied by any script
chicago311,Clean Vacant Lot Request,8253,0.023,FALLEN_TREE,low,clean,resembles already-mapped chicago311:Tree Debris Clean-Up Request; weak overlap,,REVIEW — not applied by any script
