source_dataset,source_category,urbaneye_category,confidence,notes
# ---------------------------------------------------------------------------
# UrbanEye+ canonical taxonomy (15):
# ROAD_DAMAGE POTHOLE GARBAGE_DUMPING STREETLIGHT_FAULT TRAFFIC_SIGNAL_FAULT
# FOOTPATH_DAMAGE OPEN_MANHOLE DRAINAGE_SEWER WATER_LEAKAGE_WATERLOGGING
# FALLEN_TREE PUBLIC_INFRASTRUCTURE_DAMAGE SIGNAGE_DAMAGE
# GRAFFITI_VISUAL_POLLUTION CONSTRUCTION_OBSTRUCTION OTHER
#
# Special targets:
#   REVIEW_REQUIRED - semantically ambiguous, a human must decide. Rows mapping
#                     here are EXCLUDED from ml_ready outputs until resolved.
#   OUT_OF_SCOPE    - real category, deliberately not an UrbanEye+ incident
#                     (housing, noise, parking, rodents, transit feedback).
#
# confidence: high | medium | low | none
# Source vocabularies below were read from live publisher metadata on 2026-09-13.
# They are the highest-frequency values only. Any source value NOT listed here is
# reported by process_*.py in reports/unmapped_categories.csv with a row count so
# this file can be extended. Unlisted values are never auto-guessed.
# ---------------------------------------------------------------------------
sf311,Street Defects,ROAD_DAMAGE,high,"SF's pavement-defect bucket; Request Type 'Pavement_Defect' sits under it"
sf311,Streetlights,STREETLIGHT_FAULT,high,
sf311,Sewer Issues,DRAINAGE_SEWER,high,"PUC Sewer Ops queue"
sf311,Sign Repair,SIGNAGE_DAMAGE,high,
sf311,Graffiti,GRAFFITI_VISUAL_POLLUTION,high,
sf311,Graffiti Public,GRAFFITI_VISUAL_POLLUTION,high,"duplicate-ish sibling of Graffiti on public property"
sf311,Tree Maintenance,FALLEN_TREE,medium,"REVIEW: covers routine pruning as well as genuinely fallen/hazard trees. Subtype needed to separate. Currently low-precision."
sf311,Illegal Postings,GRAFFITI_VISUAL_POLLUTION,medium,"posters/flyposting - visual pollution but not graffiti proper"
sf311,Litter Receptacles,GARBAGE_DUMPING,medium,"overflowing public bins rather than fly-tipping"
sf311,Damaged Property,PUBLIC_INFRASTRUCTURE_DAMAGE,medium,"REVIEW: includes private property damage in some subtypes"
sf311,Street and Sidewalk Cleaning,REVIEW_REQUIRED,low,"3.49M rows - the single largest SF category. Splits across GARBAGE_DUMPING and FOOTPATH_DAMAGE depending on Request Type/Request Details. MUST be resolved at subcategory level, not here. See subcategory rules below."
sf311,General Request - PUBLIC WORKS,REVIEW_REQUIRED,none,"catch-all; requires Request Type inspection"
sf311,General Request,REVIEW_REQUIRED,none,"catch-all"
sf311,General Request - MTA,REVIEW_REQUIRED,none,"catch-all"
sf311,Encampments,OUT_OF_SCOPE,high,"homelessness response - not a civic infrastructure defect; also privacy-sensitive"
sf311,Encampment,OUT_OF_SCOPE,high,"casing variant of Encampments"
sf311,Parking Enforcement,OUT_OF_SCOPE,high,
sf311,Abandoned Vehicle,OUT_OF_SCOPE,high,"arguably CONSTRUCTION_OBSTRUCTION-adjacent but it is a vehicle offence, not infrastructure"
sf311,MUNI Feedback,OUT_OF_SCOPE,high,"transit service feedback"
sf311,Rec and Park Requests,OUT_OF_SCOPE,medium,"park maintenance - occasionally infrastructure, mostly not"
sf311,311 Complaints,OUT_OF_SCOPE,high,"complaints about 311 itself"
# SF subcategory overrides (applied on Request Type / Request Details when the
# top-level Category maps to REVIEW_REQUIRED). Format: source_category = "Category|Request Type"
sf311,Street and Sidewalk Cleaning|General Cleaning,GARBAGE_DUMPING,medium,
sf311,Street and Sidewalk Cleaning|Bulky Items,GARBAGE_DUMPING,high,"1.00M rows - fly-tipped furniture/mattresses"
sf311,Street and Sidewalk Cleaning|garbage_and_debris,GARBAGE_DUMPING,high,"766k rows"
sf311,Street and Sidewalk Cleaning|City_garbage_can_overflowing,GARBAGE_DUMPING,high,
sf311,Street and Sidewalk Cleaning|Human or Animal Waste,OUT_OF_SCOPE,high,"sanitation/public health, not an infrastructure defect"
sf311,Street and Sidewalk Cleaning|Hazardous Materials,PUBLIC_INFRASTRUCTURE_DAMAGE,low,"REVIEW: hazmat spill - arguably its own category"
sf311,Street Defects|Pavement_Defect,POTHOLE,medium,"REVIEW: 'Pavement_Defect' conflates potholes with general surface wear. SF does not separate them."
# ---------------------------------------------------------------------------
chicago311,Pothole in Street Complaint,POTHOLE,high,"405198 rows"
chicago311,Street Light Out Complaint,STREETLIGHT_FAULT,high,"383743 rows"
chicago311,Street Lights - All/Out,STREETLIGHT_FAULT,high,
chicago311,Traffic Signal Out Complaint,TRAFFIC_SIGNAL_FAULT,high,"176755 rows"
chicago311,Sign Repair Request - All Other Signs,SIGNAGE_DAMAGE,high,"151149 rows"
chicago311,Graffiti Removal Request,GRAFFITI_VISUAL_POLLUTION,high,"679929 rows"
chicago311,Sanitation Code Violation,GARBAGE_DUMPING,medium,"105107 rows - overflowing dumpsters/alley garbage"
chicago311,Garbage Cart Maintenance,GARBAGE_DUMPING,medium,"365054 rows - REVIEW: this is a bin-replacement request, arguably a service request not an incident"
chicago311,Tree Emergency,FALLEN_TREE,high,"140044 rows - hazardous/broken/hanging limbs. Highest-precision fallen-tree signal available anywhere."
chicago311,Tree Debris Clean-Up Request,FALLEN_TREE,high,"191042 rows"
chicago311,Tree Trim Request (NO LONGER BEING ACCEPTED),OUT_OF_SCOPE,high,"retired request type; routine pruning"
chicago311,Tree Removal Inspection,FALLEN_TREE,low,"REVIEW: inspection request, tree may be healthy"
chicago311,Weed Removal Request,OUT_OF_SCOPE,medium,"vegetation overgrowth - not obstruction in the UrbanEye+ sense"
chicago311,Street Cleaning Request,GARBAGE_DUMPING,low,"REVIEW: scheduled sweeping vs actual dumping"
chicago311,Alley Pothole Complaint,POTHOLE,high,
chicago311,Pavement Buckle Repair,ROAD_DAMAGE,high,
chicago311,Sewer Cave-In Inspection Request,DRAINAGE_SEWER,high,
chicago311,Sewer Cleaning Inspection Request,DRAINAGE_SEWER,high,
chicago311,Water in Basement Complaint,WATER_LEAKAGE_WATERLOGGING,medium,"REVIEW: private-property flooding"
